id,raw_no,category,year,event_name,period,start_date,end_date,venue,host,organizer,phone,fax,email,homepage
310,310,전시회,2023,코믹월드 2023 Summer,2023.08.05~2023.08.06,2023-08-05,2023-08-06,"전시홀 3A,전시홀 4,전시홀 5",㈜코믹월드,㈜코믹월드,02-6010-9536~,--,comic_w@naver.com,https://comicw.co.kr/
311,311,전시회,2023,미베 베이비엑스포,2023.08.10~2023.08.13,2023-08-10,2023-08-13,전시홀 7,㈜미래전람,,02-3775-3363~,--,miraefairs@naver.com,https://www.mibe.co.kr
312,312,전시회,2023,제8회 대한민국 국제 관광박람회,2023.08.11~2023.08.14,2023-08-11,2023-08-14,전시홀 3,대한민국국제관광박람회조직위원회,㈜한국전시산업원,02-3785-3905~,02-3785-3908,kits2016@daum.net,www.ktourismshow.com
313,313,전시회,2023,제64회 MBC건축박람회,2023.08.17~2023.08.20,2023-08-17,2023-08-20,"전시홀 3,전시홀 4,전시홀 5",(주)동아전람,,02-780-0366~,02-780-0368,dongaf@naver.com,www.dong-afairs.co.kr
314,314,전시회,2023,K-PRINT 2023 / K-Pack 2023 / K-Label 2023 / K-Sign & AD 2023,2023.08.23~2023.08.26,2023-08-23,2023-08-26,"전시홀 7,전시홀 8A",㈜한국이앤엑스 / 대한인쇄문화협회,,02-551-0102~,02-551-0103,kprint@kprint.kr,www.kprint.kr
315,315,전시회,2023,한국국제가구 및 인테리어산업대전,2023.08.24~2023.08.27,2023-08-24,2023-08-27,"전시홀 2,전시홀 3",대한가구산업협동조합연합회,,031-991-5300~,031-363-3949,kofurn@kffic.kr,www.kofurn.or.kr
316,316,전시회,2023,경기주류대상,2023.08.25~2023.08.27,2023-08-25,2023-08-27,"전시홀 6A,전시홀 6B",경기도농수산진흥원,,031-250-2755~,--,sun0484@gafi.or.kr,
317,317,이벤트,2023,GS25 뮤직앤비어 페스티벌,2023.08.26~2023.08.26,2023-08-26,2023-08-26,"전시홀 4,전시홀 5",(주)GS리테일,비이피씨탄젠트,070-4924-9353~,02-554-4160,soonho@bepc.co.kr,www.instagram.com/gs25_official/
318,318,전시회,2023,제16회 폐기물&middot;자원순환산업전 (RETECH 2023),2023.08.30~2023.09.01,2023-08-30,2023-09-01,"전시홀 7A,전시홀 7B",RETECH 조직위원회,㈜광륭,02-599-1582~,02-599-1498,info@re-tech.org,www.re-tech.org
319,319,전시회,2023,2023 차세대 분체산업전,2023.08.30~2023.09.01,2023-08-30,2023-09-01,전시홀 8A,㈜광륭,㈜광륭,02-599-1582~,02-599-1498,info@apowdertech.com,www.apowdertech.com
320,320,전시회,2023,마이펫페어 2023 일산,2023.09.01~2023.09.03,2023-09-01,2023-09-03,"전시홀 10A,전시홀 10B",주식회사 마이팀페어스,,02-6204-3577~3578,02-6008-3545,mypetfair@naver.com,www.mypetfair.co.kr
321,321,전시회,2023,제1회 고향사랑의 날 기념식 및 고향사랑기부제 박람회,2023.09.02~2023.09.04,2023-09-02,2023-09-04,전시홀 9B,행정안전부,,--~,--,,ilovegohyang.co.kr
322,322,이벤트,2023,포켓몬 카드게임 Let's Play,2023.09.02~2023.09.02,2023-09-02,2023-09-02,"전시홀 6A,전시홀 6B","(주)포켓몬코리아 ",,031-272-0108~,--,ybs@ninemc.com,https://pokemoncard.co.kr
323,323,전시회,2023,2023 월드 스마트시티 엑스포,2023.09.06~2023.09.08,2023-09-06,2023-09-08,"전시홀 3,전시홀 4,전시홀 5","국토교통부, 과학기술정보통신부","LH(한국토지주택공사), K-WATER, KINTEX",031-995-8774~,--,smartcity@kintex.com,http://www.worldsmartcityexpo.com/fairDash.do
324,324,전시회,2023,제3회 유통·물류 및 공급망관리 산업전 (SCM FAIR),2023.09.06~2023.09.08,2023-09-06,2023-09-08,"전시홀 1,전시홀 2",주식회사 제이앤씨메쎄,"(사)한국SCM협회, (사)한국파렛트컨테이너협회, ㈜첨단, ㈜제이앤씨메쎄",070-4345-9864~,--,scmfair@naver.com,scmfair.kr
325,325,전시회,2023,2023 오토살롱위크,2023.09.08~2023.09.10,2023-09-08,2023-09-10,"전시홀 7,전시홀 8","국토교통부, 산업통상자원부","㈜서울메쎄, ㈜킨텍스",02-2284-0024~,02-2284-0005,info@autosalonweek.com,http://autosalonweek.com/2023/
326,326,전시회,2023,H2 MEET 2023,2023.09.13~2023.09.15,2023-09-13,2023-09-15,"전시홀 1,전시홀 2,전시홀 3",H2 MEET 조직위원회,"H2 MEET 조직위원회, 코트라, 킨텍스",02-3660-1858~,--,h2@kama.or.kr,h2meet.com
327,327,전시회,2023,2023 한국건설안전박람회,2023.09.13~2023.09.15,2023-09-13,2023-09-15,전시홀 10,킨텍스,,031-995-8317~,031-995-8088,kconsafetyexpo@kintex.com,www.k-consafetyexpo.com
328,328,전시회,2023,2023 대한민국 안전산업박람회,2023.09.13~2023.09.15,2023-09-13,2023-09-15,"전시홀 7,전시홀 8","행정안전부, 경기도","킨텍스, 코트라, 동반성장위원회		",031-995-8775~,--,ksafetyexpo@kintex.com,www.k-safetyexpo.com
329,329,전시회,2023,2023 기상기후산업박람회,2023.09.13~2023.09.15,2023-09-13,2023-09-15,"전시홀 7,전시홀 8",기상청,한국기상산업기술원,070-4496-6895~,--,kcmie@exponu.com,www.kcmie.com
330,330,전시회,2023,2023년 후반기 국군장병 취업박람회,2023.09.13~2023.09.14,2023-09-13,2023-09-14,Hall 6,대한민국 국방부,국방전직교육원,02-3431-8766~,02-3431-8767,moti@shimcompany.co.kr,www.motijobfair.com
331,331,전시회,2023,이차전지 소재 · 부품 및 장비전 (K-BATTERY SHOW 2023),2023.09.13~2023.09.15,2023-09-13,2023-09-15,전시홀 3A,㈜한국이앤엑스,,02-551-0102~,02-551-0103,battery@kbatteryshow.com,www.kbatteryshow.com
332,332,전시회,2023,궁디팡팡 캣페스타,2023.09.15~2023.09.17,2023-09-15,2023-09-17,"전시홀 5A,전시홀 5B",(주)캣페스타,,070-8866-6668~,--,gdppcat@naver.com,www.gdppcat.com
333,333,전시회,2023,2023 대한민국 소싱위크,2023.09.21~2023.09.22,2023-09-21,2023-09-22,전시홀 2,중소벤처기업부,"중소벤처기업진흥공단, 중소기업유통센터, 대&amp;middot;중소기업&amp;middot;농어업협력재단",070-4640-5992~,--,"pse@kosmes.or.kr,   jh.joo77@hnt.pe.kr",https://mng.gobizkorea.com/sourcing/
334,334,전시회,2023,2023 추석맞이 선물박람회,2023.09.21~2023.09.24,2023-09-21,2023-09-24,전시홀 9B,주식회사 마이스좋은공간,,-1522-1564~,062-371-3512,good-space@naver.com,http://thanksday.kr/bbs/write.php?bo_table=sub3_2
335,335,이벤트,2023,포스트 말론 첫 번째 내한공연,2023.09.23~2023.09.23,2023-09-23,2023-09-23,"전시홀 4,전시홀 5",㈜라이브네이션코리아,㈜라이브네이션코리아,02-6925-1818~,--,,
336,336,전시회,2023,경기국제웹툰페어,2023.10.06~2023.10.08,2023-10-06,2023-10-08,"전시홀 4A,전시홀 4B",경기도,"경기콘텐츠진흥원, 킨텍스		",031-995-8736~,--,webtoonfair@kintex.com,www.webtoonfair.com
337,337,전시회,2023,희귀반려동물박람회,2023.10.07~2023.10.08,2023-10-07,2023-10-08,전시홀 9B,렉사앤모런,렉사앤모런,031-528-1825~,050-8090-1825,,
338,338,전시회,2023,2023 국제아웃도어캠핑&레포츠페스티벌 더 파이널 시즌 PART 1,2023.10.07~2023.10.09,2023-10-07,2023-10-09,"전시홀 7,전시홀 8",㈜메쎄이상,,02-6121-6388~,--,caf@esgroup.net,www.caf.co.kr
339,339,전시회,2023,2023 로보월드(국제로봇산업대전),2023.10.11~2023.10.14,2023-10-11,2023-10-14,"전시홀 1,전시홀 2A,전시홀 2B,전시홀 3",산업통상자원부,"한국로봇산업협회, 한국로봇산업진흥원, 제어/로봇/시스템학회",02-780-3074~,02-780-3062,info@robotworld.or.kr,http://www.robotworld.or.kr
340,340,전시회,2023,대한민국 뷰티박람회,2023.10.12~2023.10.14,2023-10-12,2023-10-14,"전시홀 4,전시홀 5",킨텍스,,031-995-8213~,--,kbeautyexpo@kintex.com,www.kbeautyexpo.com
341,341,전시회,2023,코베 베이비페어&유아교육전 - 하반기,2023.10.12~2023.10.15,2023-10-12,2023-10-15,전시홀 7,㈜메쎄이상,,02-6121-6458~,02-6121-6401,cobe@esgroup.net,https://cobe.co.kr/__kintex.php
342,342,전시회,2023,2023 국제공구 및 스마트 용접 자동화전,2023.10.17~2023.10.20,2023-10-17,2023-10-20,"전시홀 2A,전시홀 2B",한국공구공업협동조합,"한국공구공업협동조합, 한국용접공업협동조합",02-711-0989~,02-3272-5059,7110989@naver.com,www.tool-welding.com
343,343,전시회,2023,2023 소부장뿌리기술대전,2023.10.18~2023.10.20,2023-10-18,2023-10-20,전시홀 5,산업통상자원부,"한국산업기술진흥원, 한국생산기술연구원, 한국산업기술평가관리원, 대한무역투자진흥공사, 한국소재부품장비투자기관협의회, 킨텍스",031-995-8166~,--,techinside@kintex.com,http://www.techinsideshow.kr/2023/
344,344,전시회,2023,금속산업대전 2023,2023.10.18~2023.10.20,2023-10-18,2023-10-20,전시홀 3,한국전람(주),한국전람(주),02-783-8261~,02-784-6840,ktfairs@ktfairs.com,www.korea-metal.com
345,345,전시회,2023,국제 모빌리티 산업전 (KOAA&middot;GTT SHOW),2023.10.18~2023.10.20,2023-10-18,2023-10-20,전시홀 1,"(재)아인글로벌, 대한무역투자진흥공사",,031-384-4089~,--,koaashow@koaashow.com,www.koaashow.com
346,346,전시회,2023,2023 하반기 붐업코리아,2023.10.18~2023.10.19,2023-10-18,2023-10-19,전시홀 4,대한무역투자진흥공사,대한무역투자진흥공사,02-3460-3255~,02-3460-7946,mj.kim@kotra.or.kr,www.boomupkorea.com
347,347,전시회,2023,2023 카페&베이커리페어,2023.10.19~2023.10.22,2023-10-19,2023-10-22,전시홀 10,(주)미래전람,,02-2238-0346~,02-2238-0348,cafe_bakery@naver.com,www.cafenbakeryfair.com
348,348,이벤트,2023,"2023 전국 쌀베이킹 콘테스트 ",2023.10.21~2023.10.21,2023-10-21,2023-10-21,"전시홀 6B,전시홀 6C",경기도,사단법인 도농문화콘텐츠연구회,031-8008-2622~,--,krucc@naver.com,
349,349,전시회,2023,한국포장전 2023,2023.10.24~2023.10.27,2023-10-24,2023-10-27,"전시홀 7,전시홀 8A",월간 포장타임즈,월간 포장타임즈,031-758-2813~,--,hpshow@naver.com,www.hpack.org
350,350,전시회,2023,제26회 대한민국우수상품전시회,2023.10.26~2023.10.28,2023-10-26,2023-10-28,"전시홀 1,전시홀 2",경기도,"경기도경제과학진흥원, KOTRA",031-259-6531~34,--,gfair@gbsa.or.kr,www.gfair.or.kr
351,351,이벤트,2023,대명아임레디 위드유 콘서트,2023.10.28~2023.10.28,2023-10-28,2023-10-28,전시홀 5,대명아임레디,한국경제tv,-1544-0602~,0504-397-8651,,https://www.daemyungimready.com/main/index.do
352,352,전시회,2023,2023 디지털미디어테크쇼,2023.11.02~2023.11.04,2023-11-02,2023-11-04,전시홀 4,"경기도, 고양특례시","킨텍스, 고양산업진흥원, 동반성장위원회",031-995-8763~,031-995-8090,dmts@kintex.com,www.k-dmts.com
353,353,전시회,2023,2023 디지털 퓨처쇼,2023.11.02~2023.11.04,2023-11-02,2023-11-04,전시홀 5,"경기도, 고양특례시","킨텍스, 고양산업진흥원, 동반성장위원회",031-995-8763~,--,futureshow@kintex.com,https://www.digitalfutureshow.com/fairDash.do
354,354,전시회,2023,제17회 더골프쇼 KOREA 시즌2,2023.11.02~2023.11.05,2023-11-02,2023-11-05,전시홀 8A,㈜이엑스스포테인먼트,,010-6337-6172~,0505-356-4309,thegolfshow@naver.com,www.thegolfshow.co.kr
355,355,전시회,2023,콘텐츠코리아 2023,2023.11.02~2023.11.04,2023-11-02,2023-11-04,전시홀 3A,엑스포앤유,,02-783-7979~,--,beast@exponu.com,
356,356,전시회,2023,2023 SW인재페스티벌,2023.11.02~2023.11.04,2023-11-02,2023-11-04,전시홀 7A,과학기술정보통신부,"정보통신기획평가원, 소프트웨어중심대학협의회",--~,--,,www.swfestival2023.kr
357,357,전시회,2023,2023 소프트웨어(SW) 교육 페스티벌,2023.11.03~2023.11.04,2023-11-03,2023-11-04,전시홀 10,"과학기술정보통신부, 교육부",한국과학창의재단,02-333-4723~,--,swfestival@kofac.re.kr,
358,358,전시회,2023,2023 소상공인대회 및 기능경진대회,2023.11.03~2023.11.04,2023-11-03,2023-11-04,전시홀 9,종소벤처기업부,"소상공인시장진흥공단, 소상공인연합회",070-4944-1943~,--,hjk@kfme.or.kr,
359,359,전시회,2023,2023 스마트국토엑스포,2023.11.08~2023.11.10,2023-11-08,2023-11-10,전시홀 10,국토교통부,"한국국토정보공사, 한국토지주택공사, 국토연구원, 공간정보산업진흥원, 공간정보품질관리원, 한국공간정보산업협회, 한국공간정보산업협동조합",070-7668-7291~,--,sgeinfo1@gmail.com,www.smartgeoexpo.kr
360,360,전시회,2023,2023 한국국제승강기엑스포,2023.11.08~2023.11.10,2023-11-08,2023-11-10,전시홀 5,행정안전부,"한국승강기안전공단, (사)대한승강기협회",02-780-4771~,--,hwisu@kyungyon.co.kr,www.liftexpokorea.com
361,361,전시회,2023,메가쇼 2023 시즌2&트래블쇼,2023.11.09~2023.11.12,2023-11-09,2023-11-12,"전시홀 2,전시홀 3,전시홀 4",메가쇼,메가쇼,02-6677-3477~,02-6677-0477,megashow@megashow.co.kr,www.megashow.co.kr/
362,362,전시회,2023,2023 콘텐츠 유니버스 코리아,2023.11.09~2023.11.11,2023-11-09,2023-11-11,전시홀 7B,,"고양CVB, 이데일리, 오프너디오씨(주)",-1600-2339~,--,registration@contentsuniverse.com,https://contentsuniverse.com
363,363,이벤트,2023,월드 오브 몬스터짐 8,2023.11.11~2023.11.12,2023-11-11,2023-11-12,"전시홀 9A,전시홀 9B",몬스터짐,,-1666-4290~,--,contact@monsterzym.com,https://www.monsterzym.com
364,364,이벤트,2023,서울 2023 WT 월드컵 팀 챔피언십,2023.11.14~2023.11.16,2023-11-14,2023-11-16,"전시홀 6B,전시홀 6C",대한태권도협회,대한태권도협회,02-420-2953~,--,kta1961@daum.net,
365,365,전시회,2023,2023 대한민국 지방자치 경영혁신 엑스포,2023.11.16~2023.11.18,2023-11-16,2023-11-18,전시홀 7,"행정안전부, 한국일보사",글로벌이앤비,02-724-2670~,02-724-2131,thekoreaexpo@gmail.com,expokorea.kr
366,366,전시회,2023,2023 메가주 일산(하),2023.11.17~2023.11.19,2023-11-17,2023-11-19,"전시홀 1A,전시홀 2,전시홀 3,전시홀 4,전시홀 5",(사)한국펫사료협회,주식회사 메쎄이상,02-6121-6392~,--,pet.es@esgroup.net,https://k-pet.co.kr/
367,367,전시회,2023,2023 도로교통박람회,2023.11.22~2023.11.24,2023-11-22,2023-11-24,전시홀 3A,"킨텍스, 한국도로협회",,031-995-8779~,031-995-8092,,www.road-trafficshow.com
368,368,전시회,2023,2023 경기도 건설신기술 박람회,2023.11.22~2023.11.24,2023-11-22,2023-11-24,전시홀 2B,2023 경기도 건설신기술 박람회,한국건설교통신기술협회,02-516-2645~,--,kcna@kcna.or.kr,www.kcna.or.kr
369,369,전시회,2023,2023 경기도 교통안전박람회,2023.11.22~2023.11.24,2023-11-22,2023-11-24,전시홀 3B,"킨텍스, 한국도로협회",,031-995-8779~,031-995-8092,zpd1662@kintex.com,
370,370,전시회,2023,2023 스마트건설 EXPO,2023.11.22~2023.11.24,2023-11-22,2023-11-24,"전시홀 1,전시홀 2A",국토교통부,"한국도로공사, 한국건설기술연구원, 한국토지주택공사, 국가철도공단, ",02-6121-6439~,--,smartconexpo@esgroup.net,https://smartconexpo.com
371,371,전시회,2023,제14회 고양가구박람회 & 리빙아트페스타,2023.11.23~2023.11.26,2023-11-23,2023-11-26,"전시홀 4,전시홀 5",경기고양시 일산가구협동조합,,010-5215-8077~,031-976-1341,proline1@naver.com,고양가구박람회.com
372,372,전시회,2023,제45회 맘앤베이비엑스포,2023.11.23~2023.11.26,2023-11-23,2023-11-26,전시홀 7,㈜유아림,㈜유아림,02-2236-2771~,070-8224-9006,ddakul@yuarim.com,www.momnbabyexpo.co.kr
373,373,전시회,2023,2023 국제아웃도어캠핑&레포츠페스티벌 더 파이널 시즌 PART 2,2023.11.24~2023.11.26,2023-11-24,2023-11-26,전시홀 10,㈜메쎄이상,,02-6121-6388~,--,caf@esgroup.net,www.caf.co.kr
374,374,전시회,2023,2023 대한민국 과일산업대전,2023.11.24~2023.11.26,2023-11-24,2023-11-26,전시홀 9B,한국과수농업협동조합연합회,,054-534-8003~,--,bioay@sunplus.or.kr,http://kfruit.or.kr
375,375,이벤트,2023,2023 던파페스티벌 IS BACK,2023.11.25~2023.11.25,2023-11-25,2023-11-25,전시홀 8,주식회사 이루다크리에이티브,,-1588-7890~,--,pjrfm@promotion.co.kr,
376,376,전시회,2023,2023 순환경제 페스티벌,2023.11.29~2023.11.30,2023-11-29,2023-11-30,전시홀 9,산업통상자원부,"한국생산기술연구원, 한국산업연합포럼",1577-0900-~,--,reload93@ezpmp.co.kr,https://circulareconomyexhibition.kr/
377,377,전시회,2023,2023 늘봄학교&middot;교육기부 박람회,2023.11.30~2023.12.03,2023-11-30,2023-12-03,전시홀 7,교육부,한국과학창의재단 / 한국교육개발원,02-6222-6060~,--,js.shim@unione.co.kr,https://teachforkorea.go.kr/event/list.do
378,378,전시회,2023,2023 국제봉제기계섬유산업전,2023.11.30~2023.12.02,2023-11-30,2023-12-02,전시홀 8,"한국봉제기계공업협회, ㈜서울메쎄, 월간 봉제기술, 제스미디어",,02-2284-0014~,02-2284-0005,kyj@seoulmesse.com,www.gtkorea.org
379,379,전시회,2023,2023 월드풋볼페스티벌,2023.12.01~2023.12.03,2023-12-01,2023-12-03,"전시홀 1B,전시홀 2","경기도축구협회, 고양시축구협회","마인즈그라운드(주), SH SPORTS AGENCY",02-6747-7512~,--,hspark@mindsground.com,http://worldfootballfestival.com/
380,380,전시회,2023,애니메이션 X 게임 페스티벌,2023.12.02~2023.12.03,2023-12-02,2023-12-03,"전시홀 3,전시홀 4,전시홀 5","AGF 2023 조직위원회 애니플러스, 대원미디어, 소니뮤직 재팬, 디앤씨미디어",,070-7162-7020~,--,park.jh@aniplustv.com,https://www.agfkorea.com/
381,381,이벤트,2023,2023 지니뮤직 페스티벌,2023.12.09~2023.12.10,2023-12-09,2023-12-10,전시홀 5,지니뮤직,,070-4505-9936~,--,wjkim@biscuittown.co.kr,https://geniemusicfestival.com/
382,382,이벤트,2023,2023 지니뮤직 페스티벌,2023.12.09~2023.12.10,2023-12-09,2023-12-10,전시홀 5,지니뮤직,,02-325-9936~,--,wjkim@biscuittown.co.kr,https://geniemusicfestival.com/
383,383,이벤트,2023,로스트아크 2023 디어 프렌즈 페스타,2023.12.15~2023.12.16,2023-12-15,2023-12-16,전시홀 7,(주)스마일게이트알피지,(주)에프엠커뮤니케이션즈,02-1588-7890~,--,khhfm@promotion.co.kr,https://url.kr/2zb5pg
384,384,전시회,2023,코믹월드 2023 WINTER,2023.12.16~2023.12.17,2023-12-16,2023-12-17,"전시홀 2A,전시홀 3,전시홀 4,전시홀 5",㈜코믹월드,㈜코믹월드,02-6010-9536~,--,comic_w@naver.com,https://comicw.co.kr/
385,385,이벤트,2023,AKMU 2023~2024 CONCERT TOUR IN 고양 [AKMUTOPIA］,2023.12.16~2023.12.16,2023-12-16,2023-12-16,전시홀 1,"YG ENTERTAINMENT, TYPE COMMUNICATION",,02-1588-0766~,--,,https://tickets.interpark.com/goods/23015558
386,386,이벤트,2023,로스트아크 2023 디어 프렌즈 페스타 with 윈터 쇼케이스,2023.12.17~2023.12.17,2023-12-17,2023-12-17,전시홀 7,(주)스마일게이트알피지,(주)에프엠커뮤니케이션즈,02-1588-7890~,--,khhfm@promotion.co.kr,https://url.kr/2zb5pg
387,387,이벤트,2023,〈팬텀싱어4〉 콘서트 Libelante X Fortena - 고양,2023.12.23~2023.12.24,2023-12-23,2023-12-24,전시홀 5A,스튜디오잼,㈜공연마루,0507-1351-8095~,--,,https://tickets.interpark.com/goods/23012084
388,388,이벤트,2023,카운트다운 판타지 2023-2024,2023.12.30~2023.12.31,2023-12-30,2023-12-31,"전시홀 6A,전시홀 6C",민트페이퍼,주식회사 엠피엠지,02-322-0014~,--,mintpaper@mpmg.co.kr,https://www.mintpaper.co.kr/
389,389,이벤트,2023,2023 'IN DECEMBER (12월에)' 나훈아 콘서트,2023.12.30~2023.12.31,2023-12-30,2023-12-31,"전시홀 4A,전시홀 5",주식회사 예아라,주식회사 엔플래닛,02-1588-4446~,--,nplanet1@naver.com,http://nahoonaticket.com/
390,390,전시회,2022,2022 코리아빌드위크,2022.03.03~2022.03.06,2022-03-03,2022-03-06,"전시홀 2,전시홀 3,전시홀 4,전시홀 5A,전시홀 5B",㈜메쎄이상,,-1600-5340~,02-6121-6401,jwseo.es@esgroup.net,https://koreabuild.co.kr/kintex
391,391,전시회,2022,2022 캠핑&피크닉페어,2022.03.10~2022.03.13,2022-03-10,2022-03-13,"전시홀 7,전시홀 8",주식회사 가족사랑전람,,02-796-8710~,--,esol.jo@allfair.co.kr,http://www.campingfair.co.kr/camping/
392,392,전시회,2022,제13회 더골프쇼 KOREA 시즌1,2022.03.10~2022.03.13,2022-03-10,2022-03-13,전시홀 10A,(주)이엑스스포테인먼트,,02-356-4309~,0505-356-4309,thegolfshow@naver.com,https://www.thegolfshow.co.kr/
393,393,전시회,2022,제39회 맘앤베이비엑스포,2022.03.10~2022.03.13,2022-03-10,2022-03-13,전시홀 2A,(주)유아림,(주)유아림,02-2236-2771~,02-523-7051,nalee@yuarim.com,www.momnbabyexpo.co.kr
394,394,전시회,2022,2022 경기국제보트쇼,2022.03.11~2022.03.13,2022-03-11,2022-03-13,"전시홀 4,전시홀 5","해양수산부, 경기도","킨텍스, 수자원환경산업진흥, 한국마리나협회",-1670-8785~,--,kibs@kintex.com,https://www.koreaboatshow.or.kr/fairDash.do
395,395,전시회,2022,2022 한국국제낚시박람회,2022.03.11~2022.03.13,2022-03-11,2022-03-13,전시홀 3,(사)한국낚시협회,(주)광륭,02-599-1582~,02-599-1498,info@kofish.kr,www.kofish.kr
396,396,이벤트,2022,2022 김준수 단독콘서트,2022.03.18~2022.03.20,2022-03-18,2022-03-20,전시홀 1,"엔에이치엔티켓링크(주), (주)해브투펀투게더",㈜팜트리아일랜드,-1588-7890~,--,kiminki0303@ticketlink.co.kr,http://www.ticketlink.co.kr/product/37616
397,397,전시회,2022,코리아 나라장터 엑스포,2022.04.13~2022.04.15,2022-04-13,2022-04-15,"전시홀 3,전시홀 4,전시홀 5","조달청, 경기도, 고양시, 중소기업중앙회","킨텍스, 정부조달우수제품협회, 정부조달마스협회, 한국G-PASS기업 수출진흥협회, 동반성장위원회",031-995-8283~,--,koppex@koppex.com,www.koppex.com
398,398,전시회,2022,제21회 세계보안엑스포 (SECON & eGISEC 2022),2022.04.20~2022.04.22,2022-04-20,2022-04-22,"전시홀 3,전시홀 4,전시홀 5A",행정안전부,"세계보안엑스포조직위원회, 인포마마켓비엔㈜, 인포마마켓한국㈜, ㈜더비엔		",02-719-6933~,--,"secon@seconexpo.com, egisec@seconexpo.com",https://www.seconexpo.com/kor/main.asp
399,399,이벤트,2022,"2022 내일은 국민가수 TOP10 전국투어 콘서트 ""탄생!국가단"" - 일산",2022.04.23~2022.04.23,2022-04-23,2022-04-23,전시홀 1,유한회사 엘티미디어,,--~,--,,
400,400,전시회,2022,케이팜 귀농귀촌 박람회,2022.04.28~2022.04.30,2022-04-28,2022-04-30,전시홀 7A,대한민국지방신문협의회,㈜메쎄이상,02-6121-6381~,02-6121-0941,kfarm@esgroup.net,www.kfarm.co.kr
401,401,전시회,2022,제 51회 코베 베이비페어&유아교육전,2022.05.05~2022.05.08,2022-05-05,2022-05-08,전시홀 7,㈜메쎄이상,,02-6121-6458~,02-6121-6459,cobe@esgroup.net,www.cobe.co.kr
402,402,이벤트,2022,제58회 백상예술대상,2022.05.06~2022.05.06,2022-05-06,2022-05-06,전시홀 4,"스튜디오잼 ",,02-2031-8091~,--,yu.gayoung@jtbc.co.kr,https://www.baeksangawards.co.kr/
403,403,이벤트,2022,2022 임영웅 콘서트 [IM HERO] - 고양,2022.05.06~2022.05.08,2022-05-06,2022-05-08,전시홀 1,물고기뮤직_CJENM(고양),,1544-6399-~,--,,
404,404,전시회,2022,2022 서울캣쇼,2022.05.06~2022.05.08,2022-05-06,2022-05-08,전시홀 5A,㈜미래전람,,02-3775-3363~,--,c-show@naver.com,www.cat-show.co.kr
405,405,전시회,2022,제60회 MBC건축박람회 / 2022 동아 공공시설 및 조경박람회 / 2022 서울 조명 박람회 /  2022 서울 디지털프린팅&middot;사인 엑스포 / 제32회 동아 홈&리빙페어 /  제23회 서울 기프트쇼 / 제21회 동아 차&middot;공예 박람회 / 제19회 동아 가구 엑스포 /  제19회 동아 스포츠&middot;레저산업 박람회,2022.05.12~2022.05.15,2022-05-12,2022-05-15,"전시홀 1,전시홀 2,전시홀 3,전시홀 4",(주)동아전람,,02-780-0366~,02-780-0368,dongaf@naver.com,www.dong-afairs.co.kr
406,406,전시회,2022,2022 플레이엑스포,2022.05.12~2022.05.15,2022-05-12,2022-05-15,"전시홀 6,전시홀 7,전시홀 8A",경기도,,031-995-8162~,--,playx4@kintex.com,www.playx4.or.kr
407,407,전시회,2022,2022 케이펫페어 일산,2022.05.20~2022.05.22,2022-05-20,2022-05-22,전시홀 10,(사)한국펫사료협회,㈜메쎄이상,031-8027-3769~,--,pet.es@esgroup.net,www.k-pet.co.kr
408,408,전시회,2022,서울국제생산제조기술전(SIMTOS 2022),2022.05.23~2022.05.27,2022-05-23,2022-05-27,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5,전시홀 6,전시홀 7,전시홀 8",한국공작기계산업협회,,02-3453-2721~,--,simtos@simtos.org,www.simtos.org
409,409,전시회,2022,2022 국제 아웃도어 캠핑&레포츠 페스티벌,2022.06.03~2022.06.05,2022-06-03,2022-06-05,전시홀 10,㈜메쎄이상,,02-6121-6388~,--,caf@esgroup.net,www.caf.co.kr
410,410,전시회,2022,2022 서울국제식품산업대전,2022.06.07~2022.06.10,2022-06-07,2022-06-10,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5",킨텍스,"대한무역투자진흥공사, 킨텍스, 인포마 마켓",031-995-8212~8216,031-995-8783,seoulfood@kintex.com,www.seoulfood.or.kr
411,411,전시회,2022,제12회 국제물류산업대전 / 제23회 국제포장기자재전 / 제17회 제약바이오화장품기술전 / 제14회 국제화학장치산업전 / 제16회 국제연구실험 및 첨단분석장비전 / 제12회 국제의약품바이오산업전 / 제7회 국제화장품원료기술전,2022.06.14~2022.06.17,2022-06-14,2022-06-17,"전시홀 1,전시홀 2,전시홀 3,전시홀 4,전시홀 5,전시홀 7,전시홀 8A","(사)한국통합물류협회, (사)한국포장기계협회, 아이유뉴스(주), 월간포장, (주)사이언스21, (주)경연전람, (주)케이와이엑스포",,--~11,--,,
412,412,전시회,2022,2022 국제광융합 O2O 엑스포,2022.06.21~2022.06.23,2022-06-21,2022-06-23,전시홀 3A,"산업통상자원부, (사)엘이디산업포럼","동반성장위원회, ㈜엑스포앤유",02-783-7979~,--,led@exponu.com,
413,413,전시회,2022,메가쇼 2022 시즌1,2022.06.23~2022.06.26,2022-06-23,2022-06-26,"전시홀 7,전시홀 8",메가쇼,메가쇼,02-6677-3477~,02-6677-0477,megashow@megashow.co.kr,www.megashow.co.kr
